Universe,Ticker,Company,Coverage,EQ Composite,Valuation Composite,Guidance Credibility,Guidance Confidence,Guidance Obs,Conf-Adj Guidance,Current Price,Market Bear,Market Base,Market Bull,Fundamental Bear,Fundamental Base,Fundamental Bull,Market Wt,Fundamental Wt,Hybrid Bear,Hybrid Base,Hybrid Bull,Bear %,Base %,Bull %,Scenario Score,Fundamental Integrated,Market Method,Fundamental Method,Scenario Mix,Model Note
Healthcare,NVS,Novartis,B,62,65,69.84,High/Medium,4,66.348,153.81,123.048,169.191,215.334,125,160,205,0.5,0.5,124.024,164.59550000000002,210.167,-0.19365450880957025,0.07012222872375018,0.36640660555230475,42.37333630546036,58.64553407636508,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,PFE,Pfizer,B,68,80,21,Low,1,13.65,27.96,22.368000000000002,30.756000000000004,39.144,21,33,42,0.5,0.5,21.684,31.878,40.572,-0.22446351931330466,0.14012875536480673,0.4510729613733906,47.14247394236664,58.23311848559166,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,AZN,AstraZeneca,B,82,50,75,Low,1,48.75,162.7,130.16,178.97,227.77999999999997,125,160,225,0.5,0.5,127.58,169.485,226.39,-0.21585740626920713,0.041702519975415075,0.3914566687154273,40.40422776363159,57.01355694090789,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,MRK,Merck,B,68,60,66.3,Medium/Low,2,53.04,148.35,118.68,163.185,207.68999999999997,115,155,210,0.35,0.65,116.288,157.86475,209.1915,-0.2161240310077519,0.06413717559824739,0.4101213346814965,42.14115990177668,56.89128997544417,Standardized scenario proxy (reconstruction),Normalized earnings excluding acquired-IPR&D effects,Hybrid 35/65,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,LLY,Eli Lilly,B,92,35,63.24,Medium,3,56.916000000000004,1174.61,939.688,1292.071,1644.4539999999997,850,1200,1600,0.5,0.5,894.844,1246.0355,1622.2269999999999,-0.23817777815615382,0.06080784260307692,0.38107712347076905,40.25995558404189,56.70238889601046,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,JNJ,Johnson & Johnson,B,82,55,49.3,Medium/Low,2,39.44,268.04,214.43200000000002,294.84400000000005,375.25600000000003,215,260,325,0.5,0.5,214.716,277.422,350.12800000000004,-0.19894045664826143,0.035002238471869784,0.3062527980898373,38.631374315134195,56.67384357878354,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,NVO,Novo Nordisk,B,72,75,9,Low,1,5.8500000000000005,45.61,36.488,50.17100000000001,63.85399999999999,32,52,70,0.5,0.5,34.244,51.0855,66.92699999999999,-0.24919973689980268,0.12005042753782069,0.4673755755316815,45.320496758229716,56.30762418955742,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,A,Agilent Technologies,B,85,45,75,Low,1,48.75,153.84,123.072,169.22400000000002,215.376,116,145,202,0.5,0.5,119.536,157.11200000000002,208.688,-0.2229849193967759,0.0212688507540304,0.35652626105044183,38.05150063145384,55.82537515786346,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,GILD,Gilead Sciences,B,72,60,42,Low,1,27.3,145.68,116.54400000000001,160.24800000000002,203.952,115,155,205,0.35,0.65,115.5404,156.8368,204.6332,-0.20688907193849537,0.07658429434376712,0.40467600219659516,43.12031997724954,54.47507999431238,Standardized scenario proxy (reconstruction),Normalized earnings excluding acquired-IPR&D effects,Hybrid 35/65,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,NFLX,Netflix,A,76.45105499999998,54.60886972027972,39.31034482758617,Low,1,25.55172413793101,81.05,94.95480493800768,128.6248599828987,164.28088258871313,24.23764676278117,43.86334143367625,74.92895708347606,0.5,0.5,59.596225850394426,86.24410070828748,119.6049198360946,-0.2646980154177122,0.06408514137307186,0.47569302697217264,41.652367006812085,53.56382778847658,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,AMZN,Amazon,A,55.3926,70.45147968531468,50.24414787184829,Medium/Low,2,40.195318297478636,259.77,283.63550053475933,453.27318235294126,748.8067045454544,40.33773920954147,72.81505314806726,124.11927420167842,0.5,0.5,161.9866198721504,263.04411775050426,436.4629893735664,-0.3764229130686745,0.012603910191724577,0.6801901273186528,38.93504560431036,53.51628305129378,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,DHR,Danaher,B,65,60,54,Low,1,35.1,216.07,172.856,237.67700000000002,302.498,164,216,267,0.5,0.5,168.428,226.8385,284.749,-0.22049335863377606,0.04983801545795363,0.3178553246633038,38.82625670252367,52.47156417563092,Standardized scenario proxy (reconstruction),50% EPS-multiple + 50% FCF-yield,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,MU,Micron Technology,A,88.464505,50.61867867132867,2.1120000000000125,Medium,3,1.9008000000000114,958.73,1230.8972046476765,1740.806451274363,2225.238202773613,147.71566315773268,264.8328915902873,448.81484841269787,0.5,0.5,689.3064339027046,1002.8196714323252,1337.0265255931554,-0.2810213158003769,0.04598757880980586,0.39458087844664846,37.87627246974577,51.47914321883504,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,ILMN,Illumina,B,84,35,75,Low,1,48.75,215.59,172.472,237.14900000000003,301.82599999999996,130,180,280,0.5,0.5,151.236,208.5745,290.913,-0.29850178579711495,-0.03254093418062065,0.34938076905236803,31.49415557307853,50.886038893269635,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow valuation,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,AAPL,Apple,A,88.562875,47.208068636363635,,N/A,0,,316.85,219.60177528901738,291.87287933526017,354.25272308526013,97.15864970902754,176.00952717382432,300.92430233307755,0.5,0.5,158.38021249902246,233.94120325454224,327.58851270916887,-0.500141352378026,-0.26166576217597526,0.033891471387624605,5.216102618151975,49.453304406408336,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,GOOGL,Alphabet,A,76.600855,58.622718181818186,,N/A,0,,339.35,240.87718774548313,320.64976237234885,409.7341356539671,93.70357295245194,168.6016533266053,286.60826601709147,0.5,0.5,167.29038034896752,244.62570784947707,348.17120083552925,-0.5070270212200751,-0.27913449874914675,0.025994403522997533,4.717427909696649,49.1134458023172,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,CSCO,Cisco Systems,A,84.65018999999998,53.82998863636364,42.14285714285721,Low,1,27.39285714285719,110.49,62.05803561452514,81.36549441340783,109.3390625,44.45102960027645,80.44618815289131,137.4244083630045,0.5,0.5,53.25453260740079,80.90584128314957,123.38173543150225,-0.51801490987962,-0.2677541742859121,0.11667784805414305,6.503793894120202,47.27893063586772,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,BAYRY,Bayer,B,55,60,21,Low,1,13.65,14.02,11.216000000000001,15.422,19.627999999999997,9.5,15.5,20,0.25,0.75,9.929,15.4805,19.907,-0.2917974322396576,0.10417261055634808,0.4199001426533524,41.36265793764011,46.88816448441003,Standardized scenario proxy (reconstruction),Enterprise/SOTP with leverage/litigation discount,Hybrid 25/75,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,NTRA,Natera,B,88,25,24,High,5,24,326.26,261.008,358.886,456.76399999999995,190,270,475,0.25,0.75,207.752,292.2215,470.441,-0.36323177833629616,-0.10432936921473668,0.44192055415925946,26.873516739497862,44.218379184874465,Standardized scenario proxy (reconstruction),Revenue/EV + path-to-FCF valuation,Hybrid 25/75,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,AVGO,Broadcom,A,98.556355,11.550637727272726,68.62500000000003,Low,1,44.60625000000002,370.34,231.90826501917346,400.2575389859395,589.4058931614827,84.0792140233178,150.74191115844607,255.46376660299848,0.5,0.5,157.99373952124563,275.4997250721928,422.4348298822406,-0.5733819206101268,-0.25608974166389586,0.1406675754232345,4.681230358887813,40.89334290790377,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,AMAT,Applied Materials,A,90.44727499999999,22.60819272727273,63.60335195530723,Low,1,41.3421787709497,458.39,264.1342300884956,380.3543495575222,525.4773783185841,86.77864794617483,156.5738536382441,266.78736798153363,0.5,0.5,175.4564390173352,268.46410159788314,396.13237315005887,-0.61723327512089,-0.41433255176185535,-0.13581803017068683,0,40.11796713382427,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,GH,Guardant Health,B,84,20,9,Low,1,5.8500000000000005,161.5,129.20000000000002,177.65,226.1,85,130,260,0.25,0.75,96.05000000000001,141.9125,251.525,-0.40526315789473677,-0.12128482972136223,0.5574303405572756,26.95350508624503,38.81587627156126,Standardized scenario proxy (reconstruction),Revenue/EV + path-to-FCF valuation,Hybrid 25/75,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,LRCX,Lam Research,A,89.267425,18.289855909090907,63.88745454545455,Low,1,41.52684545454546,301.49,159.31811931283337,239.54596109193605,345.76277063068716,44.6754656466955,80.09667016640645,135.7405972620358,0.5,0.5,101.99679247976444,159.82131562917124,240.75168394636148,-0.661690959966286,-0.4698951353969577,-0.2014604665283708,0,38.496211090909085,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
Healthcare,BIO,Bio-Rad Laboratories,B,50,40,42,Low,1,27.3,387.7,310.16,426.47,542.78,270,340,470,0.25,0.75,280.04,361.6175,488.195,-0.2776889347433582,-0.06727495486200663,0.2592081506319319,28.165601164375996,38.136400291094,Standardized scenario proxy (reconstruction),Normalized earnings / cash-flow / asset context,Hybrid 25/75,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,PANW,Palo Alto Networks,A,77.40677202543888,27.732412440191382,53.65479452054788,Low,1,34.875616438356126,382.13,173.52319752581536,236.83777456292813,281.5869517431755,121.43319646621936,219.07291247711967,373.23987685735483,0.5,0.5,147.47819699601735,227.95534352002392,327.4134143002652,-0.614062761374356,-0.4034612735979276,-0.14318840630082652,0,36.7730978054425,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,WMT,Walmart,A,45.957269999999994,40.01146356643356,38.823529411764646,Low,1,25.235294117647022,104.87,62.93993160444571,82.64676489028214,137.5970459888857,26.40965698131327,48.21424065506593,82.96566844244938,0.5,0.5,44.67479429287949,65.43050277267403,110.28135721566754,-0.5739983380101126,-0.3760798820189375,0.05160062187153169,2.427588258845866,30.182811252288587,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,COST,Costco Wholesale,A,49.37400499999999,32.68100178321678,,N/A,0,,943.89,739.1467372881357,1065.8812627118646,1337.9262711864405,176.29735094939835,320.35518839648887,549.1218328569064,0.5,0.5,457.72204411876703,693.1182255541767,943.5240520216735,-0.5150684464092563,-0.26567902451114356,-0.00038770193383397267,3.7157554695950354,30.053459885133872,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,PLTR,Palantir Technologies,A,92.6836,0.9589613636363635,14.486714841578587,Low,1,9.416364647026082,186.38,103.35696047794117,145.03264767156864,200.7482192095588,16.397734601014022,29.39877449068825,49.82238587256073,0.5,0.5,59.8773475394776,87.21571108112845,125.28530254105976,-0.6787351242650628,-0.5320543455245818,-0.32779642375222784,0,29.505223106144822,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,INTC,Intel,A,67.90526,26.718015279720277,0,Low,1,0,89.51,24.229001391982187,53.54319413511508,137.99043012249447,6.131941954268595,11.088647344177213,18.92987840716726,0.5,0.5,15.18047167312539,32.315920739646145,78.46015426483086,-0.8304047405527272,-0.6389685985962893,-0.12344817042977485,0,28.38698258391608,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,AMD,Advanced Micro Devices,A,72.23020499999998,4.292214825174825,36.9561224489796,Medium,3,33.26051020408164,470.72,292.14518168947615,413.20730155733844,550.5316422840963,42.048888137500995,75.38759530003145,127.76008279638604,0.5,0.5,167.09703491348859,244.29744842868496,339.1458625402412,-0.6450181957140368,-0.4810132383822975,-0.27951677740431435,0,27.945802478164687,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,SPCX,SpaceX,B,37.72862692307692,0,,N/A,0,,143.69,90.5247,158.059,233.49625,,,,1,0,90.5247,158.059,233.49625,-0.37,0.10000000000000009,0.625,42.830357142857146,25.913149838396897,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Market-only fallback,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
QQQ,TSLA,Tesla,A,53.81938999999999,2.3083750000000003,,N/A,0,,367.95,96.55046833773088,148.46303740493562,236.70279275958407,17.15857740092885,30.968060467509517,52.77971019590251,0.5,0.5,56.85452286932986,89.71554893622258,144.74125147774328,-0.8454830197871182,-0.7561746190074125,-0.6066279345624588,0,19.809799411764704,Forward EPS × own 20Q forward-P/E bands,5Y normalized-FCF DCF,Hybrid 50/50,"QQQ reconstruction retains full 20Q data. Healthcare retains established screening EQ/valuation, annual guidance and company-specific fundamental scenarios; standardized market leg is reconstructed where original historical-ratio file is unavailable in this session."
