Opportunity Rank,Universe,Ticker,Company,Coverage,Fundamental Integrated Score,Adjusted News Sentiment,Materiality,Materiality Factor,Sentiment Overlay,Opportunity Score,Sentiment Momentum,Catalyst Risk,Quadrant,Bear Return,Base Return,Bull Return,Guidance Credibility,Confidence,Scenario Score,Key News,Primary Source,Secondary Source
11,Healthcare,ABT,Abbott Laboratories,B,60.460049028947395,68.0,Moderate,0.7,0.63,61.0900490289474,-17,45,High Fundamentals / Positive Catalyst,-0.1598826353694318,0.03901929403396465,0.3890726415933137,72.0,High,42.64019611578961,Q2 growth and EPS guide raised,https://abbott.mediaroom.com/2026-07-16-Abbott-Reports-Second-Quarter-2026-Results-and-Raises-Full-Year-EPS-Guidance,
12,Healthcare,ABBV,AbbVie,B,60.10240930796931,68.6,Moderate,0.7,0.6509999999999998,60.75340930796931,-20,70,High Fundamentals / Positive Catalyst,-0.17922342257710966,0.04906059182714895,0.3849851260372632,57.8,Medium/Low,42.26563723187725,Strong Q2 growth; Apogee acquisition; minor guide dilution,https://news.abbvie.com/2026-07-31-AbbVie-Reports-Second-Quarter-2026-Financial-Results,
13,Healthcare,GSK,GSK,B,59.483593214145166,65.0,Moderate,0.7,0.5249999999999999,60.008593214145165,-18,70,High Fundamentals / Positive Catalyst,-0.18677685950413214,0.11080283353010634,0.3690279417552145,33.0,Low,45.064372856580654,Strong core Q2; 20+ Phase III starts; GAAP impairment,https://www.gsk.com/en-gb/media/press-releases/gsk-delivers-strong-q2-core-results-performance-and-continued-momentum/,
14,Healthcare,NVS,Novartis,B,58.64553407636508,60.4,Major,1.0,0.5199999999999999,59.165534076365084,-10,90,High Fundamentals / Positive Catalyst,-0.19365450880957025,0.07012222872375018,0.36640660555230475,69.84,High/Medium,42.37333630546036,Strong MS Phase 3 result offset by CAR-T safety trial pause,https://www.investopedia.com/market-update-novartis-reported-encouraging-trial-data-for-a-multiple-sclerosis-drug-the-stock-is-jumping-nvs-12075171,https://www.wsj.com/health/pharma/novartis-pauses-autoimmune-cell-therapy-studies-after-deaths-62113d35
15,Healthcare,PFE,Pfizer,B,58.23311848559166,55.95,Moderate,0.7,0.2082500000000001,58.44136848559166,-8,45,High Fundamentals / Positive Catalyst,-0.22446351931330466,0.14012875536480673,0.4510729613733906,21.0,Low,47.14247394236664,2026 guide reaffirmed; limited new near-term catalyst,https://www.sec.gov/Archives/edgar/data/78003/000007800326000087/pfe-20260618.htm,
16,Healthcare,MRK,Merck,B,56.89128997544417,74.8,Major,1.0,1.24,58.13128997544417,-13,75,High Fundamentals / Positive Catalyst,-0.2161240310077519,0.06413717559824739,0.4101213346814965,66.3,Medium/Low,42.14115990177668,Positive Phase 3 melanoma + FDA acceptance + Q2 milestones,https://www.merck.com/investor-relations/,
17,Healthcare,LLY,Eli Lilly,B,56.70238889601046,77.6,Major,1.0,1.38,58.082388896010464,-8,70,High Fundamentals / Positive Catalyst,-0.23817777815615382,0.06080784260307692,0.38107712347076905,63.24,Medium,40.25995558404189,Pipeline M&A expands immunology; core obesity franchise remains strong,https://www.barrons.com/articles/eli-lilly-stock-merida-biosciences-acquisition-3757be2f,
18,Healthcare,JNJ,Johnson & Johnson,B,56.67384357878354,75.0,Major,1.0,1.25,57.92384357878354,-18,75,High Fundamentals / Positive Catalyst,-0.19894045664826143,0.035002238471869784,0.3062527980898373,49.3,Medium/Low,38.631374315134195,Raised outlook; approvals; talc-resolution progress,https://investor.jnj.com/investor-news/default.aspx,
19,Healthcare,AZN,AstraZeneca,B,57.01355694090789,74.4,Moderate,0.7,0.8540000000000002,57.86755694090789,-18,70,High Fundamentals / Positive Catalyst,-0.21585740626920713,0.041702519975415075,0.3914566687154273,75.0,Low,40.40422776363159,Strong oncology/rare disease results; outlook maintained,https://uk.finance.yahoo.com/quote/AZN/,
20,Healthcare,A,Agilent Technologies,B,55.82537515786346,74.6,Moderate,0.7,0.8609999999999998,56.68637515786346,-8,55,High Fundamentals / Positive Catalyst,-0.2229849193967759,0.0212688507540304,0.35652626105044183,75.0,Low,38.05150063145384,FDA/EU wins + Q3 beat + AI/science collaboration,https://www.investor.agilent.com/news-and-events/news/default.aspx,
21,Healthcare,GILD,Gilead Sciences,B,54.47507999431238,75.0,Major,1.0,1.25,55.72507999431238,-18,70,Neutral / Watch,-0.20688907193849537,0.07658429434376712,0.40467600219659516,42.0,Low,43.12031997724954,Q2 strong; HIV + FDA approvals + Phase 3 progress,https://investors.gilead.com/news/news-details/2026/Gilead-Sciences-Announces-Second-Quarter-2026-Financial-Results/default.aspx,
22,Healthcare,NVO,Novo Nordisk,B,56.30762418955742,28.6,Major,1.0,-1.07,55.23762418955742,-3,85,High Fundamentals / Negative Catalyst,-0.24919973689980268,0.12005042753782069,0.4673755755316815,9.0,Low,45.320496758229716,"Sell downgrade, obesity competition/pricing pressure, late-stage trial failure",https://www.wsj.com/health/pharma/novo-nordisk-shares-drop-as-bank-downgrade-reflects-growth-concerns-8939d3f8,
23,QQQ,AMZN,Amazon,A,53.51628305129378,58.599999999999994,Major,1.0,0.4299999999999997,53.94628305129378,-25,75,Neutral / Watch,-0.3764229130686745,0.012603910191724577,0.6801901273186528,50.24414787184829,Medium/Low,38.93504560431036,Strong Q2/AWS acceleration; new FTC ad-practices lawsuit,https://ir.aboutamazon.com/news-release/news-release-details/2026/Amazon-com-Announces-Second-Quarter-Results/default.aspx,https://www.axios.com/2026/08/31/ftc-amazon-deceptive-advertising-lawsuit
24,QQQ,NFLX,Netflix,A,53.56382778847658,39.0,Moderate,0.7,-0.385,53.17882778847658,2,55,Neutral / Watch,-0.2646980154177122,0.06408514137307186,0.47569302697217264,39.31034482758617,Low,41.652367006812085,"Fundamentals growing, but M&A/strategy fears weigh on shares",https://www.marketwatch.com/story/netflix-is-growing-but-its-stock-price-is-shrinking-as-the-specter-of-m-a-spooks-investors-d8be002e,
25,Healthcare,DHR,Danaher,B,52.47156417563092,49.5,Moderate,0.7,-0.017499999999999998,52.45406417563092,-3,45,Neutral / Watch,-0.22049335863377606,0.04983801545795363,0.3178553246633038,54.0,Low,38.82625670252367,Q2 outlook upgrade but slowing growth / leadership transition,https://investors.danaher.com/press-releases?keywords=DHR-5&l=100,
26,QQQ,MU,Micron Technology,A,51.47914321883504,73.7,Moderate,0.7,0.8295000000000001,52.308643218835044,-20,65,Neutral / Watch,-0.2810213158003769,0.04598757880980586,0.39458087844664846,2.1120000000000125,Medium,37.87627246974577,AI memory boom; Taiwan labor/lower-cycle risks,https://www.barrons.com/articles/micron-stock-price-memory-chips-c8a21d87,https://finance.yahoo.com/quote/MU/
27,Healthcare,ILMN,Illumina,B,50.886038893269635,65.3,Moderate,0.7,0.5354999999999999,51.421538893269634,-17,60,Neutral / Watch,-0.29850178579711495,-0.03254093418062065,0.34938076905236803,75.0,Low,31.49415557307853,Q2 growth + AI/genomics partnerships,https://investor.illumina.com/news-events/news-releases,
28,QQQ,AAPL,Apple,A,49.453304406408336,62.099999999999994,Moderate,0.7,0.4234999999999998,49.87680440640833,-10,65,Neutral / Watch,-0.500141352378026,-0.26166576217597526,0.033891471387624605,,N/A,5.216102618151975,Record Q3; CEO transition + AI execution questions,https://www.apple.com/newsroom/2026/07/apple-reports-third-quarter-results/,https://apnews.com/article/2fac80118828b4ada9d160d012c7be32
29,QQQ,GOOGL,Alphabet,A,49.1134458023172,64.5,Moderate,0.7,0.5075000000000001,49.6209458023172,-10,65,Neutral / Watch,-0.5070270212200751,-0.27913449874914675,0.025994403522997533,,N/A,4.717427909696649,Strong Q2/Cloud acceleration; AI capex and leadership-transition concerns,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000066/googexhibit991q22026.htm,
30,QQQ,CSCO,Cisco Systems,A,47.27893063586772,64.025,Moderate,0.7,0.49087500000000023,47.76980563586772,-3,45,Neutral / Watch,-0.51801490987962,-0.2677541742859121,0.11667784805414305,42.14285714285721,Low,6.503793894120202,AI networking/connectivity thesis strengthening,https://www.marketwatch.com/story/buy-these-stocks-to-ride-the-next-big-ai-wave-connectivity-analyst-says-196241b2,
31,Healthcare,BAYRY,Bayer,B,46.88816448441003,62.665000000000006,Major,1.0,0.6332500000000003,47.52141448441003,2,90,Neutral / Watch,-0.2917974322396576,0.10417261055634808,0.4199001426533524,21.0,Low,41.36265793764011,Roundup legal relief + new approvals; litigation risk remains,https://www.marketbeat.com/stocks/OTCMKTS/BAYRY/news/,
32,Healthcare,NTRA,Natera,B,44.218379184874465,73.5,Major,1.0,1.175,45.39337918487446,-15,80,Momentum / Weak Fundamentals,-0.36323177833629616,-0.10432936921473668,0.44192055415925946,24.0,High,26.873516739497862,FDA/coverage/data momentum across Signatera/Prospera,https://www.morningstar.com/stocks/xnas/ntra/news,
33,QQQ,AVGO,Broadcom,A,40.89334290790377,60.0,Moderate,0.7,0.35,41.243342907903774,-8,55,Momentum / Weak Fundamentals,-0.5733819206101268,-0.25608974166389586,0.1406675754232345,68.62500000000003,Low,4.681230358887813,AI demand strong but high expectations/competition ahead of earnings,https://www.marketwatch.com/story/broadcom-earnings-need-to-answer-these-questions-for-the-stock-to-rally-again-f4e8f4f0,
34,QQQ,AMAT,Applied Materials,A,40.11796713382427,71.0,Moderate,0.7,0.735,40.85296713382427,-17,55,Momentum / Weak Fundamentals,-0.61723327512089,-0.41433255176185535,-0.13581803017068683,63.60335195530723,Low,0.0,AI-driven profits/revenue strong; stock/expectation volatility,https://www.morningstar.com/stocks/xnas/amat/news,
35,Healthcare,GH,Guardant Health,B,38.81587627156126,67.50999999999999,Major,1.0,0.8754999999999996,39.69137627156126,-15,80,Momentum / Weak Fundamentals,-0.40526315789473677,-0.12128482972136223,0.5574303405572756,9.0,Low,26.95350508624503,FDA-approved liquid-biopsy momentum and analyst upgrades,https://www.benzinga.com/quote/GH/news,
36,QQQ,LRCX,Lam Research,A,38.496211090909085,77.6,Moderate,0.7,0.9659999999999999,39.462211090909086,-8,50,Momentum / Weak Fundamentals,-0.661690959966286,-0.4698951353969577,-0.2014604665283708,63.88745454545455,Low,0.0,$3B R&D expansion + higher dividend + AI chip demand,https://newsroom.lamresearch.com/press-releases?l=100,
37,Healthcare,BIO,Bio-Rad Laboratories,B,38.136400291094,52.6,Minor,0.3,0.03900000000000003,38.175400291094,-5,35,Neutral / Watch,-0.2776889347433582,-0.06727495486200663,0.2592081506319319,42.0,Low,28.165601164375996,"Q2 results, but limited material newsflow",https://investors.bio-rad.com/press-releases/default.aspx?ID=1006,
38,QQQ,PANW,Palo Alto Networks,A,36.7730978054425,80.0,Moderate,0.7,1.0499999999999998,37.823097805442494,-7,60,Momentum / Weak Fundamentals,-0.614062761374356,-0.4034612735979276,-0.14318840630082652,53.65479452054788,Low,0.0,Strong Q4 and FY27 outlook; AI cyber demand; FCF margin watch,https://www.marketwatch.com/story/palo-alto-networks-stock-climbs-as-demand-for-ai-cybersecurity-powers-an-earnings-beat-4b39578c,
39,QQQ,PLTR,Palantir Technologies,A,29.505223106144822,85.9,Major,1.0,1.7950000000000004,31.300223106144824,-6,55,Momentum / Weak Fundamentals,-0.6787351242650628,-0.5320543455245818,-0.32779642375222784,14.486714841578587,Low,0.0,Standout earnings; major software-sector momentum,https://www.investopedia.com/big-software-names-bounced-back-in-august-can-they-sustain-their-recent-rally-msft-pltr-crm-panw-12074445,
40,QQQ,WMT,Walmart,A,30.182811252288587,61.05,Moderate,0.7,0.38674999999999987,30.569561252288587,-10,35,Momentum / Weak Fundamentals,-0.5739983380101126,-0.3760798820189375,0.05160062187153169,38.823529411764646,Low,2.427588258845866,Latest Q2 results / resilient retail demand; limited catalyst,https://stock.walmart.com/,
41,QQQ,COST,Costco Wholesale,A,30.053459885133872,54.335,Minor,0.3,0.06502500000000001,30.11848488513387,-7,30,Neutral / Watch,-0.5150684464092563,-0.26567902451114356,-0.00038770193383397267,,N/A,3.7157554695950354,"Stable fundamentals, recent stock underperformance and few catalysts",https://investor.costco.com/,
42,QQQ,AMD,Advanced Micro Devices,A,27.945802478164687,80.0,Major,1.0,1.5,29.445802478164687,-7,60,Momentum / Weak Fundamentals,-0.6450181957140368,-0.4810132383822975,-0.27951677740431435,36.9561224489796,Medium,0.0,"AI partnerships, inference acquisition, deployments grow",https://ir.amd.com/news-events,
43,QQQ,INTC,Intel,A,28.38698258391608,37.0,Major,1.0,-0.65,27.73698258391608,-5,80,Weak Fundamentals / Negative Sentiment,-0.8304047405527272,-0.6389685985962893,-0.12344817042977485,0.0,Low,0.0,Q2 followed by large equity offering/dilution,https://www.intc.com/news-events/press-releases,
44,QQQ,SPCX,SpaceX,B,25.913149838396897,73.1,Major,1.0,1.1549999999999998,27.0681498383969,-5,80,Momentum / Weak Fundamentals,-0.37,0.10000000000000009,0.625,,N/A,42.830357142857146,DOD AI integration/vertical expansion; Crew mission delay,https://www.investors.com/news/spacex-dod-starshield-ai-grok-military-openai-chatgpt-nasa-mission-spacex-stock/,
45,QQQ,TSLA,Tesla,A,19.809799411764704,53.5,Major,1.0,0.17500000000000002,19.984799411764705,0,85,Neutral / Watch,-0.8454830197871182,-0.7561746190074125,-0.6066279345624588,,N/A,0.0,Cybercab/FSD excitement vs slow robotaxi scaling/competition,https://www.barrons.com/articles/tesla-stock-price-cybercab-b9059add,
